Municipio,Lavoura temporária,Ano,Valor
3500303,Linho (semente),1995,-
3500303,Linho (semente),2014,-
3500303,Malva (fibra),1995,-
3500303,Malva (fibra),2014,-
3500303,Mamona (baga),1995,-
3500303,Mamona (baga),2014,-
3500303,Mandioca,1995,945
3500303,Mandioca,2014,2732
3500303,Melancia,1995,-
3500303,Melancia,2014,-
3500303,Melão,1995,-
3500303,Melão,2014,-
3500303,Milho (em grão),1995,1408
3500303,Milho (em grão),2014,19671
3500303,Rami (fibra),1995,-
3500303,Rami (fibra),2014,-
3500303,Soja (em grão),1995,675
3500303,Soja (em grão),2014,1805
3500303,Sorgo (em grão),1995,-
3500303,Sorgo (em grão),2014,17
3500303,Tomate,1995,1680
3500303,Tomate,2014,6050
3500303,Trigo (em grão),1995,-
3500303,Trigo (em grão),2014,204
3500303,Triticale (em grão),1995,-
3500303,Triticale (em grão),2014,-
3500402,Abacaxi,1995,-
3500402,Abacaxi,2014,-
3500402,Algodão herbáceo (em caroço),1995,-
3500402,Algodão herbáceo (em caroço),2014,-
3500402,Alho,1995,-
3500402,Alho,2014,-
3500402,Amendoim (em casca),1995,-
3500402,Amendoim (em casca),2014,-
3500402,Arroz (em casca),1995,25
3500402,Arroz (em casca),2014,-
3500402,Aveia (em grão),1995,-
3500402,Aveia (em grão),2014,-
3500402,Batata-doce,1995,-
3500402,Batata-doce,2014,-
3500402,Batata-inglesa,1995,3176
3500402,Batata-inglesa,2014,921
3500402,Cana-de-açúcar,1995,-
3500402,Cana-de-açúcar,2014,357
3500402,Cebola,1995,-
3500402,Cebola,2014,-
3500402,Centeio (em grão),1995,-
3500402,Centeio (em grão),2014,-
3500402,Cevada (em grão),1995,-
3500402,Cevada (em grão),2014,-
3500402,Ervilha (em grão),1995,-
3500402,Ervilha (em grão),2014,-
3500402,Fava (em grão),1995,-
3500402,Fava (em grão),2014,-
3500402,Feijão (em grão),1995,102
3500402,Feijão (em grão),2014,207
3500402,Fumo (em folha),1995,-
3500402,Fumo (em folha),2014,-
3500402,Girassol (em grão),1995,-
3500402,Girassol (em grão),2014,-
3500402,Juta (fibra),1995,-
3500402,Juta (fibra),2014,-
3500402,Linho (semente),1995,-
3500402,Linho (semente),2014,-
3500402,Malva (fibra),1995,-
3500402,Malva (fibra),2014,-
3500402,Mamona (baga),1995,-
3500402,Mamona (baga),2014,-
3500402,Mandioca,1995,-
3500402,Mandioca,2014,-
3500402,Melancia,1995,-
3500402,Melancia,2014,-
3500402,Melão,1995,-
3500402,Melão,2014,-
3500402,Milho (em grão),1995,88
3500402,Milho (em grão),2014,833
3500402,Rami (fibra),1995,-
3500402,Rami (fibra),2014,-
3500402,Soja (em grão),1995,-
3500402,Soja (em grão),2014,-
3500402,Sorgo (em grão),1995,-
3500402,Sorgo (em grão),2014,-
3500402,Tomate,1995,-
3500402,Tomate,2014,-
3500402,Trigo (em grão),1995,-
3500402,Trigo (em grão),2014,-
3500402,Triticale (em grão),1995,-
3500402,Triticale (em grão),2014,-
3500501,Abacaxi,1995,-
3500501,Abacaxi,2014,-
3500501,Algodão herbáceo (em caroço),1995,-
3500501,Algodão herbáceo (em caroço),2014,-
3500501,Alho,1995,-
3500501,Alho,2014,-
