Município,Ano,Area Colhida
3501004,2008,10091
3501004,2009,9249
3501004,2010,8778
3501004,2011,9787
3501004,2012,3238
3501004,2013,9158
3501004,2014,9168
3501103,1990,1292
3501103,1991,1330
3501103,1992,1214
3501103,1993,898
3501103,1994,687
3501103,1995,521
3501103,1996,482
3501103,1997,506
3501103,1998,452
3501103,1999,446
3501103,2000,522
3501103,2001,780
3501103,2002,505
3501103,2003,795
3501103,2004,376
3501103,2005,308
3501103,2006,304
3501103,2007,286
3501103,2008,254
3501103,2009,34
3501103,2010,257
3501103,2011,268
3501103,2012,279
3501103,2013,270
3501103,2014,267
3501152,1990,-
3501152,1991,-
3501152,1992,-
3501152,1993,-
3501152,1994,-
3501152,1995,-
3501152,1996,-
3501152,1997,-
3501152,1998,-
3501152,1999,-
3501152,2000,7
3501152,2001,6
3501152,2002,6
3501152,2003,10
3501152,2004,7
3501152,2005,10
3501152,2006,10
3501152,2007,10
3501152,2008,10
3501152,2009,22
3501152,2010,17
3501152,2011,8
3501152,2012,8
3501152,2013,8
3501152,2014,8
3501202,1990,2716
3501202,1991,2709
3501202,1992,1529
3501202,1993,1079
3501202,1994,1004
3501202,1995,931
3501202,1996,1841
3501202,1997,1100
3501202,1998,907
3501202,1999,905
3501202,2000,648
3501202,2001,793
3501202,2002,1323
3501202,2003,1037
3501202,2004,1592
3501202,2005,1208
3501202,2006,983
3501202,2007,1132
3501202,2008,1189
3501202,2009,545
3501202,2010,535
3501202,2011,281
3501202,2012,734
3501202,2013,772
3501202,2014,1004
3501301,1990,109
3501301,1991,144
3501301,1992,108
3501301,1993,130
3501301,1994,172
3501301,1995,167
3501301,1996,190
3501301,1997,208
3501301,1998,215
3501301,1999,254
3501301,2000,222
3501301,2001,237
3501301,2002,265
3501301,2003,212
3501301,2004,202
3501301,2005,212
3501301,2006,193
3501301,2007,224
3501301,2008,267
3501301,2009,278
3501301,2010,253
3501301,2011,222
3501301,2012,222
3501301,2013,222
3501301,2014,164
3501400,1990,2413
3501400,1991,2406
3501400,1992,1609
3501400,1993,1352
3501400,1994,1056
3501400,1995,902
3501400,1996,1060
3501400,1997,1041
3501400,1998,1026
3501400,1999,1252
3501400,2000,905
3501400,2001,1563
3501400,2002,1775
3501400,2003,1668
3501400,2004,1558
